project_id,owner_id,user_id,Time_Create,Time_Meb0,Time_Meb1,Time_Cmt0,Time_Cmt1,project_language,Tech_lang,Project_Member,Project_Commit_Count,Project_Size,Open_Issues_Count,Forks,Watchers,Network_Count,Stargazers_Count,has_star_developer,Successful_Onboarding
4097939,56230,56061,93,0,108609,13,2493674,PHP,1,7,164,495,0,0,26,41,20,1,0
4173434,2148782,2194853,27304,27420,1612188,1316346,2404106,C++,2,7,988,8627,5,5,6,11,11,1,1
4757845,2356286,2553090,120,0,0,4,2097358,C++,1,14,3838,41730,436,436,207,541,47,1,1
5047916,1786453,3061731,120,0,1633290,43619,2096753,Java,2,18,2246,11734,49,49,102,593,99,1,1
5230406,49129,655782,31,4,51051,88,4346288,JavaScript,1,12,917,6985,10,10,2,8,13,1,1
12526255,1265221,228772,120,0,0,56318,2141998,Python,1,6,65,7767,0,0,16,37,25,1,1
12537836,1479468,22548,120,0,1751254,0,3923441,C++,1,9,8,,,,,,,1,0
12541839,149057,832281,120,0,1328866,0,2829661,Java,2,24,351,1683,0,0,3,4,14,1,1
12634309,1580232,1967281,119,0,0,16,3932351,PHP,4,8,1,2712,0,0,5,5,8,1,0
12657166,497282,694579,120,0,0,0,2621543,Python,1,12,55,49,0,0,0,7,21,1,1
5545020,2619212,2629416,2949,2742,2082453,2997,2128703,C++,1,19,1856,65588,3,3,20,30,21,1,0
5586036,898483,3878086,320295,293075,0,320415,4102945,C++,1,9,119,2918,9,9,3,2,9,1,0
6191845,283146,39715,59,0,0,3784890,2094078,PHP,1,19,11330,49827,182,182,200,407,49,1,1
7412790,2721046,3235329,2781,4,20192,2841,4193981,JavaScript,1,12,292,46998,0,0,3,3,12,1,0
12766250,177124,23695,120,0,0,261989,3180537,Python,1,10,458,1391,6,6,8,13,7,1,1
12774734,35329,145414,120,0,1067457,644665,2766926,Ruby,3,117,93,88,3,3,4,45,82,1,1
12800360,1719322,2771101,120,0,0,93,2107441,JavaScript,1,6,154,,,,,,,1,1
12811703,2228267,5041390,120,0,970745,13,2884666,Java,1,26,1015,172743,0,0,12,7,22,1,1
8856316,3662894,1384376,1736,3,8487,1796,4133503,Java,1,7,109,10534,0,0,0,2,8,1,1
8918087,3680147,3680154,116,0,60493,3,4154083,C++,1,10,82,720,0,0,1,2,8,1,1
9061899,3724524,3773348,66,448,1972702,10243,2122769,C++,1,29,413,71211,1,1,44,10,20,1,0
9234598,12150,8729,17620,13644,0,17741,2115678,Ruby,1,6,300,611,3,3,48,23,8,1,0
9630652,2076,338282,59,0,0,2562223,2097278,Java,1,23,5578,214161,233,233,340,748,160,1,1
9642399,255465,161744,119,0,0,39664,2490405,Ruby,1,14,544,2609,2,2,19,11,27,1,1
9671859,3461168,444142,60,0,0,0,2098260,C#,23,111,1656,1539,0,0,261,504,99,1,1
9672983,3461168,319402,60,0,0,4245,2095414,C#,23,111,2470,37339,0,0,902,1956,309,1,0
9680272,241960,4005579,862868,862988,500139,860461,3622111,JavaScript,1,18,1556,99242,9,9,7,11,15,1,1
9690608,3461168,3133011,59,0,0,36,2098262,C#,23,111,1286,21284,135,135,982,805,195,1,1
9697196,3957672,3957687,120,0,0,0,2191116,JavaScript,1,7,6155,87846,36,36,19,109,26,1,1
9732779,1597412,80580,120,0,0,6460,4013318,JavaScript,7,12,59,325,5,5,3,7,12,1,0
185,1584,2146,119,0,0,634108,2102580,Ruby,2,9,3008,7176,67,67,316,1059,44,1,1
202,1653,27562,119,0,649796,20239,2896337,JavaScript,1,195,52227,999796,683,683,2331,2092,226,1,0
312,2072,302909,120,0,14341,434852,2105385,Ruby,4,49,21690,176046,104,104,265,334,34,1,1
473,4008,1336,120,0,3072236,644674,2106106,Python,2,7,641,35923,52,52,168,273,106,1,1
581,4394,12301,120,0,3877684,2947152,2094025,C#,16,74,48668,578165,2155,2155,3672,9752,544,1,0
760,5207,1058656,59,0,566819,59408,2110120,JavaScript,4,120,5968,16026,10,10,298,1942,216,1,0
799,5308,5202,15917,0,354238,308102,2097361,C,1,9,19060,3017578,671,671,4148,8840,759,0,1
866,5746,2277426,119,0,884133,355507,2095725,Python,1,27,7328,445230,176,176,989,1109,111,1,1
1207,3745,216000,120,0,654209,71920,2153240,PHP,1,13,7216,58941,107,107,948,3105,176,1,1
2438,11681,16480,120,0,0,2710,2852274,Ruby,1,8,707,1866,32,32,216,1189,49,1,0
